,vid_id,duration,total_frame,fps
0,GLd3aX16zBg,241.6,7248,30.0
1,xHr8X2Wpmno,206.8066,6198,29.97002997002997
2,V53XmPeyjIU,189.2891,5673,29.97002997002997
3,mZwK0TBI1iY,264.9313333333333,7940,29.97002997002997
4,H_9oM1Y60lU,316.38273333333336,9482,29.97002997002997
5,XOwypmUT5cc,698.6646333333333,20939,29.97002997002997
6,_xOx9hkJoBk,134.268,4025,29.97735871540501
7,67ilysu8CeU,216.9167,6501,29.97002997002997
8,gEYyWqs1oL0,225.9257,6771,29.97002997002997
9,nfYzqyureLo,259.00100000000003,6476,25.003764464229867
10,skrWT6xHVoI,191.52466666666666,4592,23.976023976023978
11,BGCW_PWhY9g,106.33956666666667,3187,29.97002997002997
12,EjHxMfOdl1k,287.32036666666664,8611,29.97002997002997
13,MIXkGU4TJp0,266.83323333333334,7997,29.97002997002997
14,Ap3g0IRcjzU,492.492,14760,29.97002997002997
15,4AIahLZfNq4,0.0,0,0.0
16,7nH0Y3agsas,0.0,0,0.0
17,wXA-1ZmvuEA,431.933,12946,29.9722410651652
18,Kbrkj7wZ4UA,466.375,11193,24.0
19,pluBtIfxUvE,212.07853333333333,6356,29.97002997002997
20,pOP5Zzm19kc,300.5,9006,29.970049916805323
21,dxSSb3tv5ZM,265.198,7948,29.970060106033984
22,acMP2DOpWeA,174.8747,5241,29.97002997002997
23,Gs3OGfQbPjc,156.42293333333333,4688,29.97002997002997
24,TkK7BbBNPaY,0.0,0,0.0
25,_bICKhr9AGo,344.6109333333333,10328,29.97002997002997
26,dxK5n3J9pdY,430.3632666666667,12898,29.97002997002997
27,pOWe4zB-E-4,275.48,6887,25.0
28,zEdAA9Oxpdw,211.33612499999998,5067,23.976023976023978
29,7Ui4OCsawAU,451.8333333333333,10844,24.0
30,frCFxOt9390,276.4,6910,25.0
31,HXqC_xWsKkY,192.52566666666667,4616,23.976023976023978
32,fn9anlEL4FI,490.28,12257,25.0
33,_XxXWiOoyhY,490.5572082762309,14676,29.917
34,qOB709GWcE8,322.18853333333334,9656,29.97002997002997
35,wch6oe0FjN8,0.0,0,0.0
36,MZbrWzqEntk,0.0,0,0.0
37,-xbTvALWCIg,454.9545,10908,23.976023976023978
38,JxCBGlPgr5o,293.3263666666667,8791,29.97002997002997
39,UA7wqVe8Kpo,185.719,5567,29.975392932333257
40,NTyhMGmuWik,399.6333333333333,11989,30.0
41,Moh7iYf2rGo,238.73850000000002,7155,29.97002997002997
42,ntiGX3X-spA,354.5542,10626,29.97002997002997
43,DBgap0YANhs,517.1610000000001,12930,25.001885292974528
44,z_ZHVTqbSZo,266.0,7980,30.0
45,GmWb7W7m2vs,428.7586111111111,12434,29.000000647865185
46,2p_h3s1CPoc,291.4,7285,25.0
47,DXYCXcuifM8,127.72,3193,25.0
48,UfWND-lc4sc,189.73333333333332,5692,30.0
49,y-Jxli-JfPg,137.25,3294,24.0
50,C_6yMh3tEQk,529.4622666666667,15868,29.97002997002997
51,7-WEdqJBXoQ,473.5731,14193,29.97002997002997
52,DDRzeomsyzU,193.96043333333333,5813,29.97002997002997
53,a4RwXrA1hiE,151.18436666666668,4531,29.97002997002997
54,Krmi9Is522c,609.96,15249,25.0
55,eQZEf3NCCo4,247.14690000000002,7407,29.97002997002997
56,1k64hSAAAd4,63.43836666666666,1521,23.97602712554075
57,ffoRmenLSLs,157.20833333333334,3773,24.0
58,Vi9BxQvpdpQ,482.7823,14469,29.97002997002997
59,3r8A4xCZgPQ,315.54856666666666,9457,29.97002997002997
60,YRZ8zZElALQ,383.56147152580337,4452,11.607005214288057
61,c9eELn4axpg,352.5188444444444,8452,23.97602322031894
62,nqyO0ovASOg,301.6680333333333,9041,29.97002997002997
63,0hVAuvPAIzA,292.02506666666665,8752,29.97002997002997
64,vDDeMg2dhEM,480.8136666666667,14410,29.97002997002997
65,VH0SmCfAov4,92.43333333333334,2773,30.0
66,PKt_za_XfF8,219.56,5489,25.0
67,HghNzA9BJAU,0.0,0,0.0
68,L-NOPLU4JOQ,436.06896666666665,13069,29.97002997002997
69,tYg3lQ5aZv8,222.98943333333332,6683,29.97002997002997
70,uxEhH6MPH28,247.847,7428,29.97010252292745
71,aCZPq6uRZa4,189.84,4746,25.0
72,xHuaYMXGTnc,183.9838,5514,29.97002997002997
73,7ebZWviUfUA,108.0079,3237,29.97002997002997
74,G-spzGkKIHM,294.3,8829,30.0
75,IqD6qnug7tc,158.16,3954,25.0
76,o9kndEZvsnY,442.80899999999997,13271,29.970032226083934
77,oAE7nqQeMBQ,120.18673333333334,3602,29.97002997002997
78,a3ZvOvo49WE,604.3037,18111,29.97002997002997
79,0uaKitJaqmI,415.56666666666666,12467,30.0
80,l1YSzo9n8EE,273.6066666666666,6560,23.976023976023978
81,gbN0iw4VbBs,55.5972,1333,23.976027569733727
82,5I-_uJQ0t1o,490.69,14706,29.970042185493895
83,Zoud8fEbWhE,553.4195333333333,16586,29.97002997002997
84,efnHOsT7k9s,193.841,4847,25.005029895636113
85,-dh_uGahzYo,561.4,14035,25.0
86,D0EAxdmzjzE,254.44,6361,25.0
87,CIRA1IC9shc,379.8795,11385,29.97002997002997
88,SHGY7kKeLq8,233.126,5596,24.004186577215755
89,sSO2wO-yaHw,609.5849999999999,18269,29.96956946119081
90,_mL1gihKDw0,555.0,16650,30.0
